"Close","Close(-1)","High(-1)","Low(-1)"
1.8763,1.8577,1.8768,1.8586
1.8588,1.8763,1.8794,1.8501
1.853,1.8588,1.8571,1.8372
1.8665,1.853,1.8637,1.8394
1.8418,1.8665,1.8655,1.8348
1.8553,1.8418,1.8571,1.8392
1.851,1.8553,1.8607,1.845
1.858,1.851,1.8596,1.8291
1.8575,1.858,1.8575,1.8575
1.86,1.8575,1.8588,1.8365
1.8767,1.86,1.8798,1.8519
1.8652,1.8767,1.8844,1.8617
1.8623,1.8652,1.8629,1.8459
1.8701,1.8623,1.869,1.8535
1.8345,1.8701,1.8697,1.8294
1.8184,1.8345,1.8346,1.8131
1.843,1.8184,1.8455,1.8197
1.8476,1.843,1.8538,1.8333
1.841,1.8476,1.8549,1.8343
1.799,1.841,1.8299,1.7912
1.8035,1.799,1.8084,1.7952
1.7809,1.8035,1.8012,1.7798
1.7908,1.7809,1.8042,1.7658
1.7793,1.7908,1.7853,1.7784
1.7795,1.7793,1.7843,1.7644
1.7683,1.7795,1.7857,1.7673
1.7555,1.7683,1.7664,1.7564
1.7601,1.7555,1.7682,1.7587
1.752,1.7601,1.7682,1.7461
1.7584,1.752,1.7659,1.7534
1.76,1.7584,1.7602,1.7415
1.8525,1.76,1.7581,1.7295
1.738,1.8525,1.7484,1.733
1.7463,1.738,1.7533,1.7341
1.7448,1.7463,1.7491,1.7306
1.7317,1.7448,1.7512,1.7306
1.7181,1.7317,1.7355,1.7208
1.7153,1.7181,1.741,1.7146
1.7237,1.7153,1.7319,1.7111
1.7247,1.7237,1.7294,1.7171
1.7184,1.7247,1.7253,1.711
1.7155,1.7184,1.724,1.7066
1.7188,1.7155,1.728,1.7114
1.7152,1.7188,1.726,1.7085
1.7161,1.7152,1.7191,1.7089
1.7277,1.7161,1.7232,1.7103
1.7155,1.7277,1.7355,1.7212
1.7093,1.7155,1.7171,1.7053
1.7172,1.7093,1.7184,1.7129
1.7145,1.7172,1.7257,1.7128
1.7051,1.7145,1.716,1.7079
1.7128,1.7051,1.71,1.6923
1.7066,1.7128,1.7135,1.7008
1.7059,1.7066,1.7175,1.7023
1.6977,1.7059,1.7102,1.6935
1.7166,1.6977,1.7223,1.6867
1.7135,1.7166,1.7249,1.7084
1.7293,1.7135,1.7273,1.7085
1.7378,1.7293,1.7415,1.7223
1.7593,1.7378,1.7592,1.7362
1.7658,1.7593,1.771,1.7128
1.7613,1.7658,1.7774,1.7512
1.7891,1.7613,1.779,1.7573
1.7988,1.7891,1.8175,1.7718
1.7913,1.7988,1.8215,1.7911
1.8034,1.7913,1.8213,1.7882
1.7994,1.8034,1.8063,1.7863
1.7975,1.7994,1.8037,1.7807
1.8207,1.7975,1.8092,1.7954
1.8141,1.8207,1.8306,1.8017
1.8192,1.8141,1.8267,1.7965
1.8181,1.8192,1.8282,1.8123
1.8093,1.8181,1.8235,1.8038
1.8171,1.8093,1.8215,1.7912
1.8212,1.8171,1.823,1.8056
1.8234,1.8212,1.8237,1.8041
1.8208,1.8234,1.8341,1.8072
1.8257,1.8208,1.8275,1.8037
1.8328,1.8257,1.833,1.8208
1.8292,1.8328,1.8332,1.8148
1.8275,1.8292,1.8419,1.8073
1.8229,1.8275,1.8305,1.8078
1.8219,1.8229,1.828,1.8218
1.819,1.8219,1.8307,1.8218
1.8325,1.819,1.8355,1.7978
1.8346,1.8325,1.8377,1.816
1.8262,1.8346,1.8385,1.8171
1.8374,1.8262,1.8385,1.8089
