"Close","Close(-1)","Volume(-1)","return_diff_last_day"
63047.0,61947.0,2081600,1100.0
61841.0,63047.0,1197600,-1206.0
62943.0,61841.0,2253800,1102.0
61676.0,62943.0,1878400,-1267.0
61183.0,61676.0,1691000,-493.0
61856.0,61183.0,1627000,673.0
61479.0,61856.0,1605200,-377.0
63049.0,61479.0,1736400,1570.0
63605.0,63049.0,1717000,556.0
63533.0,63605.0,1345800,-72.0
64442.0,63533.0,1793600,909.0
64751.0,64442.0,1267200,309.0
64541.0,64751.0,2441000,-210.0
64438.0,64541.0,1888800,-103.0
64829.0,64438.0,1871800,391.0
64811.0,64829.0,1623000,-18.0
65160.0,64811.0,1931800,349.0
63937.0,65160.0,1762200,-1223.0
64824.0,63937.0,1786400,887.0
64225.0,64824.0,1257200,-599.0
61978.0,64225.0,943200,-2247.0
60936.0,61978.0,2196000,-1042.0
61236.0,60936.0,1958400,300.0
61430.0,61236.0,2130000,194.0
60865.0,61430.0,1143800,-565.0
62065.0,60865.0,760000,1200.0
63284.0,62065.0,1786600,1219.0
63476.0,63284.0,1732200,192.0
62960.0,63476.0,1658000,-516.0
63686.0,62960.0,1229000,726.0
63479.0,63686.0,1583800,-207.0
63489.0,63479.0,1450400,10.0
62339.0,63489.0,1564800,-1150.0
63297.0,62339.0,1326400,958.0
64463.0,63297.0,1276400,1166.0
64477.0,64463.0,2429400,14.0
65748.0,64477.0,1821800,1271.0
66323.0,65748.0,2320600,575.0
66443.0,66323.0,1540000,120.0
66674.0,66443.0,1234400,231.0
66808.0,66674.0,1601800,134.0
66954.0,66808.0,1939400,146.0
67515.0,66954.0,2160200,561.0
68517.0,67515.0,2088400,1002.0
67997.0,68517.0,1766600,-520.0
68272.0,67997.0,1900000,275.0
68412.0,68272.0,1875200,140.0
68095.0,68412.0,1611600,-317.0
67862.0,68095.0,1513200,-233.0
67223.0,67862.0,1254800,-639.0
65790.0,67223.0,1625400,-1433.0
65966.0,65790.0,1732800,176.0
66264.0,65966.0,1546600,298.0
66702.0,66264.0,1841200,438.0
67584.0,66702.0,1394800,882.0
67638.0,67584.0,1747000,54.0
66887.0,67638.0,2367000,-751.0
66677.0,66887.0,1920000,-210.0
65982.0,66677.0,1414600,-695.0
65156.0,65982.0,1379600,-826.0
